Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 865",-1.027498786434e-01,-1.880929452091e-01,-8.383290087928e-02,-1.042600443299e-01,1.021357172529e-02
"                 866",-1.031010393081e-01,-1.880807056046e-01,-8.382117204027e-02,-1.042595335643e-01,1.021918076203e-02
"                 867",-1.035379893654e-01,-1.880785716349e-01,-8.378559786602e-02,-1.042929737689e-01,1.025368795142e-02
"                 868",-1.041750322746e-01,-1.881122411055e-01,-8.373629281500e-02,-1.043759482905e-01,1.031982773777e-02
"                 869",-1.048942559285e-01,-1.882197389143e-01,-8.369542386393e-02,-1.045243150504e-01,1.041444559323e-02
"                 870",-1.056045777436e-01,-1.883589033891e-01,-8.366100330331e-02,-1.046979000858e-01,1.051844839124e-02
"                 871",-1.063665455534e-01,-1.885304803329e-01,-8.361714503926e-02,-1.049133352937e-01,1.064809512720e-02
"                 872",-1.071697366029e-01,-1.887057422631e-01,-8.356166926431e-02,-1.051440729988e-01,1.079120186723e-02
"                 873",-1.078522910586e-01,-1.888445894015e-01,-8.348521073654e-02,-1.053593786649e-01,1.093708396419e-02
"                 874",-1.085344692880e-01,-1.889821813679e-01,-8.339660614381e-02,-1.055855752241e-01,1.109448454015e-02
"                 875",-1.090932014284e-01,-1.891214753785e-01,-8.331784758055e-02,-1.058036277979e-01,1.124289010868e-02
"                 876",-1.093747748854e-01,-1.892248070309e-01,-8.327442265244e-02,-1.059503843784e-01,1.133798086300e-02
"                 877",-1.092834310944e-01,-1.892671177096e-01,-8.325377376144e-02,-1.060133439482e-01,1.137978509337e-02
"                 878",-1.090881040426e-01,-1.892454454921e-01,-8.321952497085e-02,-1.060259205213e-01,1.140319777522e-02
"                 879",-1.090875525160e-01,-1.892541064866e-01,-8.316544927610e-02,-1.060886572105e-01,1.146160396722e-02
"                 880",-1.092085625512e-01,-1.892269633571e-01,-8.308052521896e-02,-1.061464381382e-01,1.153295645960e-02
"                 881",-1.090930194490e-01,-1.891411913850e-01,-8.300596172189e-02,-1.061352296631e-01,1.156463397062e-02
"                 882",-1.088047659267e-01,-1.890114722219e-01,-8.296119374089e-02,-1.060502784810e-01,1.154454237007e-02
"                 883",-1.081265196807e-01,-1.889245185011e-01,-8.301135596379e-02,-1.059131625374e-01,1.145090328678e-02
"                 884",-1.075287936238e-01,-1.889132907736e-01,-8.311784814847e-02,-1.057954426252e-01,1.133879723835e-02
"                 885",-1.066275236999e-01,-1.889210774308e-01,-8.327523767267e-02,-1.056458397581e-01,1.118530104271e-02
"                 886",-1.053758922066e-01,-1.888660466040e-01,-8.345707409874e-02,-1.054089725053e-01,1.097594920326e-02
